siteType,characteristicType,numSites,numRecords,totalNumUniqueSites
Aggregate surface-water-use,Biological,288,1093,5727
Aggregate surface-water-use,Information,417,2350,5727
Aggregate surface-water-use,"Inorganics, Major, Metals",254,21194,5727
Aggregate surface-water-use,"Inorganics, Major, Non-metals",574,28240,5727
Aggregate surface-water-use,"Inorganics, Minor, Metals",638,58236,5727
Aggregate surface-water-use,"Inorganics, Minor, Non-metals",577,14024,5727
Aggregate surface-water-use,Microbiological,2358,13939,5727
Aggregate surface-water-use,Nutrient,1072,41955,5727
Aggregate surface-water-use,"Organics, Other",764,42879,5727
Aggregate surface-water-use,"Organics, PCBs",228,4164,5727
Aggregate surface-water-use,"Organics, Pesticide",681,28788,5727
Aggregate surface-water-use,Physical,1855,136055,5727
Aggregate surface-water-use,Population/Community,0,0,5727
Aggregate surface-water-use,Radiochemical,9,1925,5727
Aggregate surface-water-use,Sediment,233,668,5727
Aggregate surface-water-use,Stable Isotopes,0,0,5727
Aggregate surface-water-use,Toxicity,1,3,5727
Aggregate groundwater use,Biological,3,5,26985
Aggregate groundwater use,Information,43,2639,26985
Aggregate groundwater use,"Inorganics, Major, Metals",2042,96142,26985
Aggregate groundwater use,"Inorganics, Major, Non-metals",2578,83828,26985
Aggregate groundwater use,"Inorganics, Minor, Metals",1992,222571,26985
Aggregate groundwater use,"Inorganics, Minor, Non-metals",2252,65826,26985
Aggregate groundwater use,Microbiological,53,1182,26985
Aggregate groundwater use,Nutrient,1493,16075,26985
Aggregate groundwater use,"Organics, Other",525,100799,26985
Aggregate groundwater use,"Organics, PCBs",360,8034,26985
Aggregate groundwater use,"Organics, Pesticide",443,116649,26985
Aggregate groundwater use,Physical,3558,262009,26985
Aggregate groundwater use,Population/Community,0,0,26985
Aggregate groundwater use,Radiochemical,140,3869,26985
Aggregate groundwater use,Sediment,3,82,26985
Aggregate groundwater use,Stable Isotopes,0,0,26985
Aggregate groundwater use,Toxicity,0,0,26985
Atmosphere,Biological,1,1,5288
Atmosphere,Information,2,27,5288
Atmosphere,"Inorganics, Major, Metals",480,118218,5288
Atmosphere,"Inorganics, Major, Non-metals",663,87052,5288
Atmosphere,"Inorganics, Minor, Metals",394,31081,5288
Atmosphere,"Inorganics, Minor, Non-metals",107,1584,5288
Atmosphere,Microbiological,8,153,5288
Atmosphere,Nutrient,596,124345,5288
Atmosphere,"Organics, Other",152,3767,5288
Atmosphere,"Organics, PCBs",15,4478,5288
Atmosphere,"Organics, Pesticide",64,29898,5288
Atmosphere,Physical,922,277719,5288
Atmosphere,Population/Community,0,0,5288
Atmosphere,Radiochemical,109,7745,5288
Atmosphere,Sediment,10,95,5288
Atmosphere,Stable Isotopes,209,2778,5288
Atmosphere,Toxicity,0,0,5288
Estuary,Biological,30745,1372247,74581
Estuary,Information,29377,935394,74581
Estuary,"Inorganics, Major, Metals",2249,63258,74581
Estuary,"Inorganics, Major, Non-metals",9251,409113,74581
Estuary,"Inorganics, Minor, Metals",12623,498653,74581
Estuary,"Inorganics, Minor, Non-metals",10999,73164,74581
Estuary,Microbiological,13683,1197041,74581
Estuary,Nutrient,33448,2346081,74581
Estuary,"Organics, Other",21152,539863,74581
Estuary,"Organics, PCBs",8854,327073,74581
Estuary,"Organics, Pesticide",9083,298876,74581
Estuary,Physical,47620,18995836,74581
Estuary,Population/Community,2,7,74581
Estuary,Radiochemical,285,3447,74581
Estuary,Sediment,294,6184,74581
Estuary,Stable Isotopes,1887,44732,74581
Estuary,Toxicity,3397,3692,74581
Facility,Biological,228,8070,30428
Facility,Information,606,6007,30428
Facility,"Inorganics, Major, Metals",4909,114005,30428
Facility,"Inorganics, Major, Non-metals",4200,109651,30428
Facility,"Inorganics, Minor, Metals",10285,403090,30428
Facility,"Inorganics, Minor, Non-metals",9570,62453,30428
Facility,Microbiological,1966,117509,30428
Facility,Nutrient,5109,532515,30428
Facility,"Organics, Other",4149,379857,30428
Facility,"Organics, PCBs",1252,54571,30428
Facility,"Organics, Pesticide",2173,167261,30428
Facility,Physical,9041,960244,30428
Facility,Population/Community,1,8,30428
Facility,Radiochemical,431,3893,30428
Facility,Sediment,325,36838,30428
Facility,Stable Isotopes,114,722,30428
Facility,Toxicity,0,0,30428
Glacier,Biological,0,0,14
Glacier,Information,0,0,14
Glacier,"Inorganics, Major, Metals",0,0,14
Glacier,"Inorganics, Major, Non-metals",7,1634,14
Glacier,"Inorganics, Minor, Metals",0,0,14
Glacier,"Inorganics, Minor, Non-metals",0,0,14
Glacier,Microbiological,1,2,14
Glacier,Nutrient,6,954,14
Glacier,"Organics, Other",0,0,14
Glacier,"Organics, PCBs",0,0,14
Glacier,"Organics, Pesticide",0,0,14
Glacier,Physical,7,1539,14
Glacier,Population/Community,0,0,14
Glacier,Radiochemical,1,21,14
Glacier,Sediment,0,0,14
Glacier,Stable Isotopes,7,167,14
Glacier,Toxicity,0,0,14
"Lake, Reservoir, Impoundment",Biological,38369,1301445,135816
"Lake, Reservoir, Impoundment",Information,46257,1649005,135816
"Lake, Reservoir, Impoundment","Inorganics, Major, Metals",28381,890227,135816
"Lake, Reservoir, Impoundment","Inorganics, Major, Non-metals",38558,2756902,135816
"Lake, Reservoir, Impoundment","Inorganics, Minor, Metals",26635,1695487,135816
"Lake, Reservoir, Impoundment","Inorganics, Minor, Non-metals",18307,252852,135816
"Lake, Reservoir, Impoundment",Microbiological,17336,492432,135816
"Lake, Reservoir, Impoundment",Nutrient,53338,4137680,135816
"Lake, Reservoir, Impoundment","Organics, Other",21731,570861,135816
"Lake, Reservoir, Impoundment","Organics, PCBs",4958,204764,135816
"Lake, Reservoir, Impoundment","Organics, Pesticide",7043,559486,135816
"Lake, Reservoir, Impoundment",Physical,66288,16172143,135816
"Lake, Reservoir, Impoundment",Population/Community,146,1247,135816
"Lake, Reservoir, Impoundment",Radiochemical,5809,36322,135816
"Lake, Reservoir, Impoundment",Sediment,1605,27981,135816
"Lake, Reservoir, Impoundment",Stable Isotopes,2224,33976,135816
"Lake, Reservoir, Impoundment",Toxicity,23,173,135816
Land,Biological,38,1205,11066
Land,Information,237,4002,11066
Land,"Inorganics, Major, Metals",2749,39983,11066
Land,"Inorganics, Major, Non-metals",1900,26067,11066
Land,"Inorganics, Minor, Metals",5044,93464,11066
Land,"Inorganics, Minor, Non-metals",3874,13194,11066
Land,Microbiological,551,4061,11066
Land,Nutrient,2053,88119,11066
Land,"Organics, Other",1943,69069,11066
Land,"Organics, PCBs",353,5032,11066
Land,"Organics, Pesticide",747,120977,11066
Land,Physical,3714,96330,11066
Land,Population/Community,2,7,11066
Land,Radiochemical,1783,7152,11066
Land,Sediment,145,3045,11066
Land,Stable Isotopes,177,2150,11066
Land,Toxicity,0,0,11066
Ocean,Biological,2159,506516,33321
Ocean,Information,2162,166756,33321
Ocean,"Inorganics, Major, Metals",726,8257,33321
Ocean,"Inorganics, Major, Non-metals",698,64004,33321
Ocean,"Inorganics, Minor, Metals",2239,80065,33321
Ocean,"Inorganics, Minor, Non-metals",2166,14641,33321
Ocean,Microbiological,11860,3417975,33321
Ocean,Nutrient,2815,306943,33321
