"characteristicType","startDate","endDate","numSites","numResults"
"Physical","1800-01-01","1800-12-31",2,11
"Physical","1801-01-01","1801-12-31",0,0
"Physical","1802-01-01","1802-12-31",0,0
"Physical","1803-01-01","1803-12-31",0,0
"Physical","1804-01-01","1804-12-31",0,0
"Physical","1805-01-01","1805-12-31",0,0
"Physical","1806-01-01","1806-12-31",0,0
"Physical","1807-01-01","1807-12-31",0,0
"Physical","1808-01-01","1808-12-31",0,0
"Physical","1809-01-01","1809-12-31",0,0
"Physical","1810-01-01","1810-12-31",0,0
"Physical","1811-01-01","1811-12-31",0,0
"Physical","1812-01-01","1812-12-31",0,0
"Physical","1813-01-01","1813-12-31",0,0
"Physical","1814-01-01","1814-12-31",0,0
"Physical","1815-01-01","1815-12-31",0,0
"Physical","1816-01-01","1816-12-31",0,0
"Physical","1817-01-01","1817-12-31",0,0
"Physical","1818-01-01","1818-12-31",0,0
"Physical","1819-01-01","1819-12-31",0,0
"Physical","1820-01-01","1820-12-31",0,0
"Physical","1821-01-01","1821-12-31",0,0
"Physical","1822-01-01","1822-12-31",0,0
"Physical","1823-01-01","1823-12-31",0,0
"Physical","1824-01-01","1824-12-31",0,0
"Physical","1825-01-01","1825-12-31",0,0
"Physical","1826-01-01","1826-12-31",0,0
"Physical","1827-01-01","1827-12-31",0,0
"Physical","1828-01-01","1828-12-31",0,0
"Physical","1829-01-01","1829-12-31",0,0
"Physical","1830-01-01","1830-12-31",0,0
"Physical","1831-01-01","1831-12-31",0,0
"Physical","1832-01-01","1832-12-31",0,0
"Physical","1833-01-01","1833-12-31",0,0
"Physical","1834-01-01","1834-12-31",0,0
"Physical","1835-01-01","1835-12-31",0,0
"Physical","1836-01-01","1836-12-31",0,0
"Physical","1837-01-01","1837-12-31",0,0
"Physical","1838-01-01","1838-12-31",0,0
"Physical","1839-01-01","1839-12-31",0,0
"Physical","1840-01-01","1840-12-31",0,0
"Physical","1841-01-01","1841-12-31",0,0
"Physical","1842-01-01","1842-12-31",0,0
"Physical","1843-01-01","1843-12-31",0,0
"Physical","1844-01-01","1844-12-31",0,0
"Physical","1845-01-01","1845-12-31",0,0
"Physical","1846-01-01","1846-12-31",0,0
"Physical","1847-01-01","1847-12-31",0,0
"Physical","1848-01-01","1848-12-31",0,0
"Physical","1849-01-01","1849-12-31",0,0
"Physical","1850-01-01","1850-12-31",0,0
"Physical","1851-01-01","1851-12-31",0,0
"Physical","1852-01-01","1852-12-31",0,0
"Physical","1853-01-01","1853-12-31",0,0
"Physical","1854-01-01","1854-12-31",0,0
"Physical","1855-01-01","1855-12-31",0,0
"Physical","1856-01-01","1856-12-31",0,0
"Physical","1857-01-01","1857-12-31",0,0
"Physical","1858-01-01","1858-12-31",0,0
"Physical","1859-01-01","1859-12-31",0,0
"Physical","1860-01-01","1860-12-31",0,0
"Physical","1861-01-01","1861-12-31",0,0
"Physical","1862-01-01","1862-12-31",0,0
"Physical","1863-01-01","1863-12-31",0,0
"Physical","1864-01-01","1864-12-31",0,0
"Physical","1865-01-01","1865-12-31",0,0
"Physical","1866-01-01","1866-12-31",0,0
"Physical","1867-01-01","1867-12-31",0,0
"Physical","1868-01-01","1868-12-31",0,0
"Physical","1869-01-01","1869-12-31",0,0
"Physical","1870-01-01","1870-12-31",0,0
"Physical","1871-01-01","1871-12-31",0,0
"Physical","1872-01-01","1872-12-31",0,0
"Physical","1873-01-01","1873-12-31",0,0
"Physical","1874-01-01","1874-12-31",0,0
"Physical","1875-01-01","1875-12-31",2,9
"Physical","1876-01-01","1876-12-31",0,0
"Physical","1877-01-01","1877-12-31",1,1
"Physical","1878-01-01","1878-12-31",0,0
"Physical","1879-01-01","1879-12-31",0,0
"Physical","1880-01-01","1880-12-31",0,0
"Physical","1881-01-01","1881-12-31",0,0
"Physical","1882-01-01","1882-12-31",0,0
"Physical","1883-01-01","1883-12-31",1,6
"Physical","1884-01-01","1884-12-31",2,12
"Physical","1885-01-01","1885-12-31",0,0
"Physical","1886-01-01","1886-12-31",1,3
"Physical","1887-01-01","1887-12-31",0,0
"Physical","1888-01-01","1888-12-31",0,0
"Physical","1889-01-01","1889-12-31",2,16
"Physical","1890-01-01","1890-12-31",1,6
"Physical","1891-01-01","1891-12-31",3,13
"Physical","1892-01-01","1892-12-31",2,6
"Physical","1893-01-01","1893-12-31",1,1
"Physical","1894-01-01","1894-12-31",2,4
"Physical","1895-01-01","1895-12-31",2,6
"Physical","1896-01-01","1896-12-31",2,7
"Physical","1897-01-01","1897-12-31",2,6
"Physical","1898-01-01","1898-12-31",4,16
"Physical","1899-01-01","1899-12-31",20,15331
"Physical","1900-01-01","1900-12-31",65,197
"Physical","1901-01-01","1901-12-31",253,618
"Physical","1902-01-01","1902-12-31",6,19
"Physical","1903-01-01","1903-12-31",7,23
"Physical","1904-01-01","1904-12-31",8,39
"Physical","1905-01-01","1905-12-31",10,196
"Physical","1906-01-01","1906-12-31",43,670
"Physical","1907-01-01","1907-12-31",28,1081
"Physical","1908-01-01","1908-12-31",40,145
"Physical","1909-01-01","1909-12-31",13,56
"Physical","1910-01-01","1910-12-31",111,564
"Physical","1911-01-01","1911-12-31",28,129
"Physical","1912-01-01","1912-12-31",13,40
"Physical","1913-01-01","1913-12-31",38,194
"Physical","1914-01-01","1914-12-31",55,670
"Physical","1915-01-01","1915-12-31",65,903
"Physical","1916-01-01","1916-12-31",50,283
"Physical","1917-01-01","1917-12-31",66,257
"Physical","1918-01-01","1918-12-31",61,257
"Physical","1919-01-01","1919-12-31",87,377
"Physical","1920-01-01","1920-12-31",36,149
"Physical","1921-01-01","1921-12-31",112,480
"Physical","1922-01-01","1922-12-31",53,272
"Physical","1923-01-01","1923-12-31",152,734
"Physical","1924-01-01","1924-12-31",90,625
"Physical","1925-01-01","1925-12-31",187,1384
"Physical","1926-01-01","1926-12-31",245,1871
"Physical","1927-01-01","1927-12-31",119,1140
"Physical","1928-01-01","1928-12-31",204,1701
"Physical","1929-01-01","1929-12-31",247,3469
"Physical","1930-01-01","1930-12-31",351,5180
"Physical","1931-01-01","1931-12-31",261,3947
"Physical","1932-01-01","1932-12-31",258,2811
"Physical","1933-01-01","1933-12-31",376,3268
"Physical","1934-01-01","1934-12-31",723,5661
"Physical","1935-01-01","1935-12-31",678,6648
"Physical","1936-01-01","1936-12-31",701,6910
"Physical","1937-01-01","1937-12-31",728,7473
"Physical","1938-01-01","1938-12-31",964,8006
"Physical","1939-01-01","1939-12-31",1464,12130
"Physical","1940-01-01","1940-12-31",1731,15446
"Physical","1941-01-01","1941-12-31",3148,23271
"Physical","1942-01-01","1942-12-31",1881,15074
"Physical","1943-01-01","1943-12-31",1504,12168
"Physical","1944-01-01","1944-12-31",1699,17619
"Physical","1945-01-01","1945-12-31",1799,28676
"Physical","1946-01-01","1946-12-31",2644,47945
"Physical","1947-01-01","1947-12-31",2636,59074
"Physical","1948-01-01","1948-12-31",2666,78019
"Physical","1949-01-01","1949-12-31",3976,99947
"Physical","1950-01-01","1950-12-31",3512,84109
"Physical","1951-01-01","1951-12-31",4392,106336
"Physical","1952-01-01","1952-12-31",4125,95546
"Physical","1953-01-01","1953-12-31",4670,98605
"Physical","1954-01-01","1954-12-31",5058,99322
"Physical","1955-01-01","1955-12-31",5514,106473
"Physical","1956-01-01","1956-12-31",6090,115112
"Physical","1957-01-01","1957-12-31",6662,129414
"Physical","1958-01-01","1958-12-31",7556,139868
"Physical","1959-01-01","1959-12-31",9586,158938
"Physical","1960-01-01","1960-12-31",9958,203593
"Physical","1961-01-01","1961-12-31",10055,211227
"Physical","1962-01-01","1962-12-31",11240,225502
"Physical","1963-01-01","1963-12-31",12292,227594
"Physical","1964-01-01","1964-12-31",14325,254501
"Physical","1965-01-01","1965-12-31",14164,276318
"Physical","1966-01-01","1966-12-31",15617,295911
"Physical","1967-01-01","1967-12-31",16784,347048
"Physical","1968-01-01","1968-12-31",17948,424365
"Physical","1969-01-01","1969-12-31",16597,449798
"Physical","1970-01-01","1970-12-31",18801,525155
"Physical","1971-01-01","1971-12-31",20538,545164
"Physical","1972-01-01","1972-12-31",22121,584887
"Physical","1973-01-01","1973-12-31",24585,695626
"Physical","1974-01-01","1974-12-31",27380,843493
"Physical","1975-01-01","1975-12-31",30568,925519
"Physical","1976-01-01","1976-12-31",37821,966778
"Physical","1977-01-01","1977-12-31",36118,954436
"Physical","1978-01-01","1978-12-31",45936,1060695
"Physical","1979-01-01","1979-12-31",35823,1019000
"Physical","1980-01-01","1980-12-31",35995,1017868
"Physical","1981-01-01","1981-12-31",31353,1039428
"Physical","1982-01-01","1982-12-31",27756,924879
"Physical","1983-01-01","1983-12-31",25087,892833
"Physical","1984-01-01","1984-12-31",22073,935025
"Physical","1985-01-01","1985-12-31",23344,1037215
"Physical","1986-01-01","1986-12-31",24402,1112304
"Physical","1987-01-01","1987-12-31",25239,1113167
"Physical","1988-01-01","1988-12-31",27195,1155085
"Physical","1989-01-01","1989-12-31",27868,1255436
"Physical","1990-01-01","1990-12-31",27492,1346798
"Physical","1991-01-01","1991-12-31",31625,1588502
"Physical","1992-01-01","1992-12-31",30094,1736875
"Physical","1993-01-01","1993-12-31",32694,1940654
"Physical","1994-01-01","1994-12-31",32821,2074276
"Physical","1995-01-01","1995-12-31",33014,2082476
"Physical","1996-01-01","1996-12-31",31778,2224315
"Physical","1997-01-01","1997-12-31",34913,2768417
"Physical","1998-01-01","1998-12-31",38885,2862386
"Physical","1999-01-01","1999-12-31",46089,3479062
"Physical","2000-01-01","2000-12-31",54046,3722764
"Physical","2001-01-01","2001-12-31",55887,3722865
"Physical","2002-01-01","2002-12-31",56955,3931513
"Physical","2003-01-01","2003-12-31",60464,4273138
"Physical","2004-01-01","2004-12-31",64661,5025379
"Physical","2005-01-01","2005-12-31",64912,5190607
"Physical","2006-01-01","2006-12-31",59382,5359850
"Physical","2007-01-01","2007-12-31",59168,5423624
"Physical","2008-01-01","2008-12-31",57048,6133105
"Physical","2009-01-01","2009-12-31",57051,6826236
"Physical","2010-01-01","2010-12-31",54940,6647648
"Physical","2011-01-01","2011-12-31",57045,7133629
"Physical","2012-01-01","2012-12-31",54421,6867586
"Physical","2013-01-01","2013-12-31",49549,6714755
"Physical","2014-01-01","2014-12-31",42350,4482887
"Physical","2015-01-01","2015-12-31",28557,2878830
"Physical","2016-01-01","2016-12-31",2897,63581
"Inorganics, Major, Metals","1800-01-01","1800-12-31",4,20
"Inorganics, Major, Metals","1801-01-01","1801-12-31",0,0
"Inorganics, Major, Metals","1802-01-01","1802-12-31",0,0
"Inorganics, Major, Metals","1803-01-01","1803-12-31",0,0
"Inorganics, Major, Metals","1804-01-01","1804-12-31",0,0
"Inorganics, Major, Metals","1805-01-01","1805-12-31",0,0
"Inorganics, Major, Metals","1806-01-01","1806-12-31",0,0
"Inorganics, Major, Metals","1807-01-01","1807-12-31",0,0
"Inorganics, Major, Metals","1808-01-01","1808-12-31",0,0
